vehicle_id,charge_start_time,charge_end_time,mileage,charge_start_soc,charge_end_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp
1,20171130205406,20171201041715,74253.0,33.2,100.0,362.4,397.3,-7.7,-7.7,10.0,4.0
1,20171228214625,20171229040829,78689.0,43.6,100.0,364.4,400.4,-7.6,-7.7,9.0,3.0
1,20180105181841,20180105190901,79981.2,40.4,80.8,367.4,382.6,-26.4,-40.2,16.0,8.0
1,20180222212828,20180223044641,88008.3,34.0,,362.0,398.7,-7.5,-7.6,15.0,8.0
2,20180422123228,20180422131459,56684.4,23.0,79.0,347.9,394.6,-33.4,-37.8,34.0,25.0
2,20180504131529,20180504140000,60225.7,23.0,77.0,349.3,394.8,-33.1,-37.6,36.0,25.0
2,20180605195653,20180606021001,70881.0,46.0,99.0,356.4,397.0,-8.8,-5.1,31.0,29.0
3,20171204000931,20171204010020,142404.0,26.8,34.4,359.0,373.9,-5.6,-5.8,28.0,18.0
3,20180305115553,20180305125203,155470.0,50.0,84.0,349.7,374.6,-85.0,-16.3,14.0,6.0
3,20180320124445,20180320130745,158638.0,21.0,58.0,328.8,361.9,-15.9,-29.9,22.0,13.0
3,20180525204527,20180526031311,169897.0,51.0,90.0,342.2,374.6,-8.8,-7.9,33.0,28.0
3,20180609195605,20180609224444,172178.0,56.0,82.0,347.5,370.2,-8.7,-8.1,26.0,22.0
4,20171120231120,20171121001940,70904.0,38.0,100.0,543.0,570.5,-69.0,-1.0,32.0,0.0
4,20171210015114,20171210024124,75699.5,36.0,100.0,541.4,559.4,-71.0,-4.0,33.0,0.0
4,20171210091815,20171210094935,75761.5,52.0,78.0,532.1,549.3,-20.0,-80.0,28.0,16.0
4,20180314125736,20180314132436,95911.7,73.0,100.0,536.2,552.0,-20.0,-1.0,34.0,28.0
4,20180515132220,20180515134700,110030.5,62.0,100.0,539.8,548.7,-172.0,-1.0,44.0,37.0
4,20180603131518,20180603133358,114031.9,72.0,100.0,535.4,556.6,-21.0,-10.0,40.0,35.0
4,20180707153932,20180707161252,122683.3,42.0,77.0,532.9,542.5,-20.0,0.0,48.0,40.0
5,20171107134051,20171107141321,67626.9,40.0,84.0,559.1,574.7,-188.0,-188.0,37.0,0.0
5,20171231221114,20171231234904,82642.2,26.0,100.0,555.1,593.1,-99.0,-5.0,37.0,0.0
5,20180102141714,20180102144424,82987.5,41.0,80.0,560.7,565.8,-192.0,0.0,37.0,25.0
5,20180305221123,20180305224133,97842.1,58.0,100.0,566.2,600.6,-197.0,-9.0,38.0,0.0
5,20180416011618,20180416020238,107471.6,64.0,98.0,557.8,574.8,-16.0,-38.0,34.0,26.0
5,20180528142748,20180528150008,117552.6,50.0,96.0,560.0,580.1,-191.0,-191.0,48.0,0.0
5,20180602230518,20180602235948,118875.5,36.0,100.0,553.5,566.8,-95.0,-7.0,45.0,0.0
5,20180711171502,20180711173342,127800.2,43.0,68.0,552.2,566.9,-26.0,-173.0,49.0,40.0
